origin_dist,dest_dist,obs,gan,diff,pct_diff
26,2,5,4.5714855,-0.4285144805908203,-0.08570289611816406
26,3,16,19.435705,3.4357051849365234,0.21473157405853271
26,4,3,1.2744712,-1.7255288362503052,-0.5751762787501017
26,5,27,28.003174,1.003173828125,0.03715458622685185
26,6,1,0.24397965,-0.7560203522443771,-0.7560203522443771
26,7,8,4.7345815,-3.265418529510498,-0.40817731618881226
26,8,5,2.3216655,-2.6783344745635986,-0.5356668949127197
26,9,20,32.436947,12.436946868896484,0.6218473434448242
26,10,57,26.733294,-30.266706466674805,-0.5309948502925405
26,11,1,0.99103564,-0.008964359760284424,-0.008964359760284424
26,12,3,19.456215,16.456214904785156,5.485404968261719
26,13,1,0.24392778,-0.7560722231864929,-0.7560722231864929
26,14,19,36.596657,17.596656799316406,0.9261398315429688
26,15,4,3.1760037,-0.8239963054656982,-0.20599907636642456
26,16,13,3.8473299,-9.15267014503479,-0.7040515496180608
26,18,1,0.06406251,-0.9359374865889549,-0.9359374865889549
26,23,6,0.7425555,-5.257444500923157,-0.8762407501538595
26,24,14,5.4696326,-8.530367374420166,-0.6093119553157261
26,25,5,7.7142944,2.71429443359375,0.54285888671875
26,26,82,97.48254,15.482536315917969,0.1888114184868045
26,27,8,14.846171,6.8461713790893555,0.8557714223861694
27,1,21,9.133426,-11.86657428741455,-0.5650749660673595
27,2,4,1.7895505,-2.210449457168579,-0.5526123642921448
27,3,9,9.493994,0.49399375915527344,0.05488819546169705
27,4,2,1.5331059,-0.46689414978027344,-0.23344707489013672
27,5,28,18.576998,-9.423002243041992,-0.3365357943943569
27,7,15,1.9410305,-13.058969497680664,-0.8705979665120442
27,8,7,1.8578027,-5.142197251319885,-0.7345996073314122
27,9,23,14.520992,-8.479007720947266,-0.36865250960640283
27,10,8,6.9295697,-1.0704302787780762,-0.13380378484725952
27,12,36,47.655426,11.655426025390625,0.32376183403862846
27,14,107,111.421745,4.421745300292969,0.04132472243264457
27,15,4,8.757561,4.757560729980469,1.1893901824951172
