"TAZ","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov"
1051,607,152.9,1.10565,607,24,11.4929,7.63905,0.00,0.00,10.9771
1052,453.1,115.1,0.794766,453.1,13,11.9489,8.44403,1.25346,1.18405,11.2295
1053,2332.60,542.4,2.11603,2332.60,168,11.9579,8.43465,1.03833,1.38019,11.232
1054,1361.30,133.4,0.766752,1361.30,83,11.945,8.48605,1.53346,1.57215,11.2211
1055,414.9,107.8,0.808712,414.9,5,11.5993,7.77873,0.00,0.00,11.0306
1056,1731.70,318.6,0.0177574,1731.70,437,11.8442,8.13758,0.00,1.0434,11.1773
1057,354.4,92.7,0.711261,354.4,2,11.8293,8.28639,1.26074,1.08908,11.1632
1058,896.8,213.8,0.997305,896.8,29,11.9682,8.68443,1.50141,1.48063,11.229
1059,543.6,139,1.06268,543.6,14,11.6738,7.8678,0.00,0.244717,11.0866
1060,850.2,198.5,0.922397,850.2,71,11.8414,8.61675,1.68143,1.30882,11.1567
1061,950.7,232,1.49005,950.7,61,12.0251,8.4483,0.189004,2.32812,11.2727
1062,257.9,64.7,0.472074,257.9,11,11.6562,7.80392,0.00,0.101356,11.082
1063,869.5,215.9,1.55097,869.5,41,11.7267,8.022,0.661589,0.859284,11.1024
1064,734.2,189.8,1.43676,734.2,12,11.7226,8.20314,1.25201,1.03717,11.0996
1065,4741.20,232.2,1.57104,4741.20,171,11.88,8.26721,0.00,0.52764,11.1824
1066,967.8,242.9,1.62107,967.8,21,11.7549,8.18616,1.42888,1.05772,11.1148
1067,135,33.5,0.244143,135,7,11.9709,8.4812,0.354725,1.12551,11.2264
1068,342.9,88.5,0.711547,342.9,6,11.58,7.94119,1.1897,1.00396,11.0184
1069,834.8,213.7,1.59323,834.8,21,11.5065,7.75471,0.853559,0.022252,10.9616
1070,16342.40,3356.00,3.4712,16342.40,1104.00,11.9237,8.67104,0.385416,1.49375,11.1796
1071,409.9,101.5,0.740272,409.9,22,11.5724,8.02995,1.39666,0.644781,10.9996
1072,1569.30,217.3,1.46956,1569.30,101,11.4753,7.70689,0.627351,0.00,10.935
1073,383.8,101,0.78456,383.8,0.00,11.576,7.92769,1.14979,1.14252,11.0038
1074,1461.30,203.7,1.37918,1461.30,81,11.6526,7.87419,0.356318,0.990178,11.0616
1075,964.6,249,1.90663,964.6,17,11.4994,7.79127,1.03074,0.883163,10.9598
